Mês;Metro;Transmetro;Total
Enero;7,268,319;4,046,946;11,315,265
Febrero;7,786,541;4,341,133;12,127,674
Marzo;8,528,582;4,804,927;13,333,509
Abril;7,684,703;4,324,195;12,008,898
Mayo;8,214,011;4,956,759;13,170,770
Junio;7,286,841;4,599,611;11,886,452
Julio;7,676,874;4,554,554;12,231,428
Agosto;8,644,474;4,944,963;13,589,437
Septiembre;8,410,299;4,772,777;13,183,076
Octubre;9,300,117;5,355,184;14,655,301
Noviembre;8,401,824;4,766,088;13,167,912
Diciembre;7,894,619;4,380,870;12,275,489
