Estação;Dia Útil;Sábado;Domingo;Dia Festivo
Alameda;6.703;11.817;8.631;2.639
Alfonso Reyes;1.969;1.730;1.129;646
Anáhuac;4.079;4.501;2.749;1.077
Aztlán;5.263;4.992;3.904;1.746
Central;3.914;4.006;2.590;1.429
Colonia Obrera;2.808;2.320;1.281;600
Cuauhtémoc;19.139;22.974;17.314;7.277
Del Golfo;2.584;2.440;1.382;683
Edison;5.049;4.403;2.415;1.236
Eloy Cavazos;1.519;2.648;1.566;745
Exposición;18.759;19.378;12.127;6.472
Felix U. Gómez;6.844;6.409;4.005;2.075
Fundadores;11.594;11.968;8.470;2.639
General Anaya;2.488;1.964;1.120;455
General I. Zaragoza;8.884;10.232;10.080;3.581
Hospital;7.599;5.713;2.965;1.428
Hospital Metropolitano;12.705;12.606;8.006;3.764
Lerdo de Tejada;6.289;5.460;3.572;1.790
Los Ángeles;2.661;2.515;1.366;503
Metalúrgicos;1.568;1.511;976;503
Mitras;7.708;6.995;4.213;2.329
Moderna;1.319;1.243;767;422
Niños Héroes;2.051;1.359;1.115;334
Padre Mier;14.487;17.739;14.703;3.843
Parque Fundidora;2.676;2.787;2.682;956
Penitenciaria;3.978;3.695;3.787;1.370
Regina;3.028;2.575;1.353;788
Ruiz Cortinez;3.439;3.388;2.128;1.060
San Bernabé;11.501;11.714;7.285;3.944
San Nicolás;6.293;5.684;3.731;1.633
Santa Lucía;8.640;7.764;5.421;2.875
Santiago Tapia;5.564;6.437;4.401;1.668
Sendero;23.742;26.187;18.892;7.788
Simón Bolívar;2.034;1.792;996;525
Talleres;13.902;13.620;8.435;4.940
Unidad Modelo;4.083;4.284;2.775;1.647
Universidad;5.402;4.601;1.580;324
Y Griega;6.516;8.775;5.588;2.459
